AIRPORT_ID,STATE,CITY,IATA_CODE
15008,MN,St. Cloud,STC
15016,MO,St. Louis,STL
15023,CA,Santa Rosa,STS
15024,VI,Charlotte Amalie,STT
15027,VI,Christiansted,STX
15041,ID,Sun Valley/Hailey/Ketchum,SUN
15048,IA,Sioux City,SUX
15070,NY,Newburgh/Poughkeepsie,SWF
15074,OK,Stillwater,SWO
15096,NY,Syracuse,SYR
15138,MO,Fort Leonard Wood,TBN
15249,FL,Tallahassee,TLH
15295,OH,Toledo,TOL
15304,FL,Tampa,TPA
15323,TN,Bristol/Johnson City/Kingsport,TRI
15356,NJ,Trenton,TTN
15370,OK,Tulsa,TUL
15376,AZ,Tucson,TUS
15380,MI,Traverse City,TVC
15389,ID,Twin Falls,TWF
15401,AR,Texarkana,TXK
15411,TX,Tyler,TYR
15412,TN,Knoxville,TYS
15569,TX,Victoria,VCT
15582,UT,Vernal,VEL
15607,GA,Valdosta,VLD
15624,FL,Valparaiso,VPS
15841,AK,Wrangell,WRG
15897,MT,West Yellowstone,WYS
15919,AR,Fayetteville,XNA
15991,AK,Yakutat,YAK
16101,WA,Yakima,YKM
16218,AZ,Yuma,YUM
16869,ND,Williston,XWA
