station_id,airport_id,state,city,IATA_CODE,longitude,latitude,elevation
USW00024045,11097,WY,Cody,COD,-109.0167,44.5167,1553.9
USW00024090,14457,SD,Rapid City,RAP,-103.0545,44.0458,963.8
USW00024121,11525,NV,Elko,EKO,-115.7864,40.8239,1540.5
USW00024126,13829,UT,Ogden,OGD,-112.0169,41.1942,1356.1
USW00024127,14869,UT,Salt Lake City,SLC,-111.965,40.7706,1288.4
USW00024132,10849,MT,Bozeman,BZN,-111.1614,45.7875,1350.6
USW00024135,10779,MT,Butte,BTM,-112.5014,45.9644,1677.9
USW00024143,12003,MT,Great Falls,GTF,-111.3828,47.4733,1117.7
USW00024144,12156,MT,Helena,HLN,-111.9892,46.6044,1178.1
USW00024145,12280,ID,Idaho Falls,IDA,-112.0675,43.5206,1442.6
USW00024149,13127,ID,Lewiston,LWS,-117.0153,46.3744,435.9
USW00024153,13486,MT,Missoula,MSO,-114.0939,46.9208,973.8
USW00024156,14113,ID,Pocatello,PIH,-112.5722,42.9197,1356.7
USW00024157,11884,WA,Spokane,GEG,-117.5281,47.6217,717.8
USW00024160,10275,WA,Walla Walla,ALW,-118.2858,46.0944,356.6
USW00024166,12441,WY,Jackson,JAC,-110.7333,43.6,1956.5
USW00024217,10666,WA,Bellingham,BLI,-122.5406,48.7992,45.7
USW00024222,14004,WA,Everett,PAE,-122.2831,47.9233,167.0
USW00024225,13264,OR,Medford,MFR,-122.8769,42.375,400.2
USW00024229,14057,OR,Portland,PDX,-122.6092,45.5958,6.7
USW00024242,14057,OR,Portland,PDX,-122.4097,45.5511,7.6
USW00024233,14747,WA,Seattle,SEA,-122.3144,47.4447,112.5
USW00024243,16101,WA,Yakima,YKM,-120.535,46.5639,321.0
USW00024257,14487,CA,Redding,RDD,-122.2978,40.5147,152.7
USW00025309,12523,AK,Juneau,JNU,-134.5561,58.3539,5.8
USW00025325,12819,AK,Ketchikan,KTN,-131.7219,55.3586,25.6
USW00025333,14828,AK,Sitka,SIT,-135.3669,57.0475,6.1
USW00025339,15991,AK,Yakutat,YAK,-139.6711,59.5122,12.5
USW00025501,10170,AK,Kodiak,ADQ,-152.4881,57.7508,4.9
USW00025624,10917,AK,Cold Bay,CDB,-162.7322,55.2206,21.9
USW00025704,10165,AK,Adak Island,ADK,-176.65,51.8833,5.2
USW00026410,10926,AK,Cordova,CDV,-145.4444,60.4861,14.6
USW00026411,11630,AK,Fairbanks,FAI,-147.8761,64.8031,131.1
USW00026451,10299,AK,Anchorage,ANC,-150.0278,61.1692,38.1
USW00026615,10551,AK,Bethel,BET,-161.8294,60.785,32.6
USW00026616,13970,AK,Kotzebue,OTZ,-162.6067,66.8856,3.4
USW00026617,13873,AK,Nome,OME,-165.44,64.5111,5.5
USW00027502,10754,AK,Barrow,BRW,-156.7394,71.2869,8.2
USW00053803,13983,KY,Owensboro,OWB,-87.1667,37.75,122.8
USW00053842,12339,IN,Indianapolis,IND,-86.2958,39.8247,247.5
USW00053859,11267,OH,Dayton,DAY,-84.2264,39.5917,290.5
USW00093815,11267,OH,Dayton,DAY,-84.2186,39.9064,302.7
USW00053860,12451,FL,Jacksonville,JAX,-81.5128,30.3369,11.9
USW00053867,10868,SC,Columbia,CAE,-80.9939,33.9719,54.9
USW00053905,14814,LA,Shreveport,SHV,-93.7461,32.5397,52.1
USW00093005,11413,CO,Durango,DRO,-107.7603,37.1431,2020.5
USW00093037,11109,CO,Colorado Springs,COS,-104.6886,38.8094,1884.3
USW00093058,14288,CO,Pueblo,PUB,-104.5058,38.2886,1424.6
USW00093073,10372,CO,Aspen,ASE,-106.8706,39.23,2339.9
USW00093075,11092,UT,Moab,CNY,-109.7628,38.75,1387.1
USW00093129,10918,UT,Cedar City,CDC,-113.0969,37.7067,1703.8
USW00093706,12119,MD,Hagerstown,HGR,-77.7303,39.7061,209.4
