type,elevation_ft,iata_code
small_airport,885,NA
small_airport,931,NA
small_airport,15,NA
small_airport,1500,NA
small_airport,435,NA
heliport,200,NA
small_airport,815,NA
heliport,75,NA
heliport,700,NA
heliport,2129,NA
small_airport,825,NA
small_airport,5698,NA
small_airport,4017,NA
heliport,548,NA
heliport,2347,NA
heliport,884,NA
heliport,6,NA
small_airport,331,NA
small_airport,320,NA
heliport,3270,NA
small_airport,744,NA
heliport,633,NA
small_airport,511,NA
small_airport,129,NA
small_airport,2342,NA
heliport,32,NA
heliport,602,NA
small_airport,800,NA
small_airport,1067,NA
small_airport,958,NA
small_airport,540,NA
small_airport,1452,NA
small_airport,1260,NA
seaplane_base,80,NA
small_airport,200,NA
heliport,650,NA
small_airport,860,NA
heliport,3120,NA
heliport,581,NA
small_airport,1030,NA
small_airport,1112,NA
small_airport,75,NA
small_airport,68,NA
heliport,5,NA
small_airport,910,NA
small_airport,830,NA
small_airport,5841,NA
heliport,660,NA
heliport,620,NA
heliport,958,NA
small_airport,35,NA
seaplane_base,384,NA
heliport,368,NA
heliport,595,NA
seaplane_base,1200,NA
small_airport,2526,NA
heliport,1110,NA
small_airport,60,NA
small_airport,2200,NA
heliport,320,NA
heliport,328,NA
heliport,581,NA
small_airport,617,NA
small_airport,1175,NA
heliport,8,NA
heliport,560,NA
heliport,890,NA
heliport,2654,NA
heliport,100,NA
small_airport,600,NA
heliport,15,NA
heliport,3300,NA
small_airport,785,NA
heliport,20,NA
small_airport,850,NA
small_airport,5521,NA
small_airport,30,NA
small_airport,1447,NA
small_airport,1190,NA
heliport,268,NA
heliport,558,NA
small_airport,4250,NA
small_airport,300,NA
small_airport,2885,NA
heliport,622,NA
small_airport,9,NA
heliport,230,NA
small_airport,88,NA
heliport,1273,NA
small_airport,988,NA
small_airport,708,NA
heliport,610,NA
small_airport,950,NA
heliport,593,NA
heliport,500,NA
seaplane_base,NA,NA
small_airport,720,NA
small_airport,120,NA
small_airport,450,NA
small_airport,60,NA
small_airport,42,NA
small_airport,820,NA
small_airport,4098,NA
small_airport,1273,NA
small_airport,675,NA
heliport,427,NA
heliport,128,NA
small_airport,530,NA
heliport,19,NA
small_airport,780,NA
small_airport,3975,NA
heliport,977,NA
small_airport,1489,NA
small_airport,355,NA
small_airport,700,NA
small_airport,526,NA
small_airport,840,NA
small_airport,5060,NA
heliport,21,NA
small_airport,28,NA
small_airport,2320,NA
seaplane_base,774,NA
heliport,64,NA
small_airport,940,NA
small_airport,329,NA
heliport,362,NA
small_airport,178,NA
small_airport,1840,NA
small_airport,70,NA
small_airport,194,NA
small_airport,57,NA
small_airport,6409,NA
heliport,59,NA
seaplane_base,89,NA
heliport,1065,NA
seaplane_base,4,NA
seaplane_base,748,NA
small_airport,1245,NA
small_airport,3647,NA
